pathway	description	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
P108-PWY	pyruvate fermentation to propanoate I	18548.1276	16885.7993	15307.8567	11952.2129	38829.6797	28636.1444	34430.977999999996	23544.725	13899.3529	30690.2485	34733.4663	31861.2366	61204.6682	27363.6135	11051.2773	16415.6695	8496.894	43162.1085	15355.8312	32445.8831	10212.8243	28351.4638	23847.6287	31899.5752	28834.8539	31625.1736	15947.0666	18669.2082	13781.7352	24388.1079	37620.9456	20878.7152	16590.6633	39854.7782	15062.8597	44623.1664	33169.6015	22278.7154	38205.1326	7351.3571	16378.0779	22150.1064	27638.0727	37851.3645	36770.4361	35828.2852	33509.9723	34464.0604	7544.8579
P122-PWY	heterolactic fermentation	3899.8381	5575.9917	10469.9391	12165.698999999999	2461.2992	4454.41	7625.438	7875.4157	16827.1932	8964.2957	2661.9281	4124.6364	2560.8234	3770.2263	4313.2139	13947.7629	1957.9453	4333.095	11238.5049	6775.0928	11834.4977	3850.1539	12123.7986	8639.279	13005.7813	7966.1114	9521.6138	10005.8824	16257.3669	5461.1509	3646.1022	10289.4523	10603.3539	7144.6254	7011.2829	8324.5882	2627.9875	21531.6022	5543.2085	5206.3303	5710.6519	17114.7754	10029.213	3447.4549	6385.4148	10966.7713	7870.1363	2962.81	6192.9534
P124-PWY	Bifidobacterium shunt	4625.2864	6884.8498	12450.5506	15759.7792	2848.4629999999997	5144.255	8943.3467	9252.79	20420.7315	10396.1004	3141.4631	4767.7592	3016.0332	4369.1368	5544.4495	17904.154	2386.0835	4994.6882	13360.9566	8000.7917	14921.4011	5070.8197	14681.4129	10781.8495	15480.4175	9384.9308	11497.583	11685.9432	19400.7665	6502.3792	4196.3035	12243.2386	13173.3382	8623.3675	8352.2098	9612.5492	3067.7216	30332.9164	6586.6149	6576.5511	6987.1904	19740.523999999998	12055.5427	3963.583	7581.6517	12748.957	9387.5043	3441.7511	8533.9045
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	2594.9207	905.0174	3972.1856	2942.4386	2281.0748	1322.1458	2383.363	1915.1239	1760.6603	3798.7623	796.0	1014.2997	2307.7284	980.8181	23812.3077	2447.5997	22336.3193	1184.6367	3106.1881	1571.3188	2235.437	14173.3209	4666.0543	1304.7144	2739.3823	1574.2389	1822.8129	2795.7839	5976.8677	2692.3	851.7130000000001	3107.552	1908.5938	2386.4099	1635.8770000000002	2653.1342	2444.8148	1037.0833	806.867	1588.6516	861.4024	3705.9743	2904.1940000000004	1151.6736	2133.6189	4240.1072	1430.906	1358.0715	595.8687
P161-PWY	acetylene degradation	17704.2721	15724.3959	40666.3347	33441.332	15904.8646	17475.74	31352.5958	21283.1131	27135.5492	32001.6597	28662.6143	22655.766	16211.0658	22929.9964	40481.6544	27473.1768	32090.9279	21853.7004	29448.7195	24398.668999999998	27611.6764	27684.4755	26915.9601	31394.0945	32503.034	25868.6942	22393.7817	36185.0855	36805.7258	20583.5934	26481.3468	33120.0556	25733.0243	26688.2407	31574.8709	21136.8518	31106.8003	33493.2774	28973.8514	19607.1416	17585.4648	31306.6741	26844.437	13388.258999999998	19143.5224	27099.9031	28283.9064	27447.89	13344.2148
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	6426.2767	18433.9719	6331.0198	7352.3918	5882.2098	5520.4384	6688.7788	5662.6929	6184.986	4448.6133	2995.7470000000003	5710.7732	2651.8789	10056.190999999999	22964.2474	14761.0878	16609.2438	7541.5138	8295.1169	3983.9762	12118.9392	29068.7579	19657.1004	6255.1634	5008.097	4286.7618	9077.3342	5149.0364	6604.6638	12602.1569	3515.6736	8459.1484	9542.9233	4388.2777	14254.7898	5462.6742	15423.8324	1849.0402	8198.009	8889.3923	20961.1676	7333.2576	13317.1272	2042.6394	9134.0215	7832.5858	5707.2853	2300.7676	2168.4905
P163-PWY	L-lysine fermentation to acetate and butanoate	5998.8014	18854.8981	4051.1636	4576.9647	4822.9044	4390.2819	5834.2089	4129.6909	5542.1045	4171.5707	2672.6036	7061.4757	1488.283	13703.2205	15491.5678	15001.2583	12632.2844	9889.4782	6829.5633	4709.4871	11234.8465	17074.4046	19607.9167	6323.1117	4680.3453	3612.7896	10066.669	3767.1313	4409.7304	13094.3594	4569.775	6982.6579	9556.0494	4121.2509	13799.3276	5850.6756	16533.3633	1934.3861	8195.0143	6826.5421	21586.7707	7624.3069	14130.7395	1302.3454	9909.3667	7394.3861	5845.4261	1482.5215	2140.3715
P164-PWY	purine nucleobases degradation I (anaerobic)	16556.27	9767.9114	21769.1014	19708.0546	17287.9775	13938.206	17043.4969	16166.1483	13758.5893	10685.1999	7767.3802	14880.0061	19291.5347	16418.0087	9779.6837	14859.4386	7389.1445	11816.6246	16345.0546	16912.9223	15542.7185	7583.9302	13635.8678	12927.6525	21195.5814	20347.249	13569.8418	19153.3411	17416.2968	18389.1353	9244.4762	21011.1671	14856.204	20216.0515	21405.8331	13906.0238	21345.8154	17998.0131	15713.6275	10451.7992	14362.6296	13607.2598	17953.5558	12811.4281	13020.2637	13140.1229	12956.0528	23631.0354	6510.9526
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	110.6437	79.8927	56.4641	164.8293	97.4559	183.0943	73.249	135.088	167.1182	214.4449	55.5566	85.625	70.6697	26.436999999999998	75.9323	196.6528	48.9238	259.9827	248.7573	106.7633	110.6881	8.6281	338.9486	114.5594	3300.6274	139.4089	277.9479	132.7773	432.8077	160.3547	71.2699	161.4007	124.334	150.0386	85.9619	227.2194	25.4578	196.2321	37.586	45.1306	97.4072	74.9266	242.4579	468.3797	96.2018	218.9332	80.5312	161.3809	113.3966
P221-PWY	octane oxidation	1278.5274	1681.5855	2983.7836	3958.7243	692.1111	1753.9803	1254.3145	1980.9597	2571.7914	10694.0307	586.8007	1998.7867	613.7589	1374.0866	840.6884	3330.5017	1315.2933	1294.2685	2789.9128	1841.861	4217.2033	808.7138	13054.6311	2764.4613	6465.5774	2796.7175	2113.6725	2181.1366	14799.7266	1669.9795	883.9467	2052.541	1754.2418	1752.9088	1806.0628	4573.8532	937.8617	1317.5882	7467.4934	2839.1461	1025.4647	1057.9223	2733.9828	3006.9009	6360.305	11572.7152	3347.2961	1168.8694	1333.6978
P23-PWY	reductive TCA cycle I	13289.4468	13676.7322	33164.5613	26258.9832	19248.8856	42333.6017	24924.2779	37182.8704	26054.5055	32567.283	9100.1633	19327.6101	15380.2197	15980.7011	21805.0022	23593.6843	14353.8483	20238.5687	24769.1056	24598.9503	23090.8131	18896.8864	34685.7969	17144.6619	34219.4342	27709.0556	17446.8028	24153.3407	33712.3859	18078.7896	17291.8803	27185.6919	21435.1086	30486.8708	27769.2033	29654.3841	9357.9082	33176.8747	14631.2987	15673.5007	14574.0769	22357.3439	23540.3048	14281.888	18618.6887	35925.2611	17874.137	22026.3531	9187.5049
P241-PWY	coenzyme B biosynthesis	1.7497	0.0	0.0	242.8374	0.0	15.2721	2.6244	2.9216	0.0	1.749	0.0	0.0	9.1471	0.0	0.0	6.9957	0.0	0.0	0.0	7.1986	5.5439	0.0	12.8604	6.1168	337.6187	0.0	0.0	4.9508	9.1756	1.7497	0.0	0.0	4.8107	0.0	0.0	6.9072	0.0	11.0785	0.0	1.7499	0.0	0.0	3.9356	0.0	70.3175	2.0294	13.3028	13.9787	0.0
P261-PWY	coenzyme M biosynthesis I	31.0451	13.5514	12.4309	247.9579	23.5142	134.8663	17.8251	90.1755	25.8124	28.7773	5.9796	26.2026	8.1736	6.5031	9.4756	46.6097	0.0	21.3717	45.0864	38.7409	27.7259	0.0	47.1748	16.5316	249.2396	31.0256	50.1736	14.217	62.6603	54.2269	59.5665	25.7386	28.4703	40.4072	20.4854	23.275	12.7608	16.8737	45.5445	22.09	25.364	24.1951	59.2749	75.6211	34.3052	27.7978	33.5554	13.2221	38.5285
P281-PWY	3-phenylpropanoate degradation	501.7898	259.2797	476.3379	627.7774	661.3568	554.9924	415.7919	731.4441	517.4073	549.6402	315.2461	390.8805	917.6292	282.1172	279.1238	652.0546	179.7848	477.2487	632.4191	447.0086	354.7877	182.9351	651.3941	425.1964	4142.0386	672.6686	612.3984	432.2683	943.8949	692.6403	351.5556	683.7045	520.3115	872.185	454.0565	848.8619	336.461	625.5014	360.1323	196.8084	359.7873	449.1732	1034.9167	680.5317	270.6152	544.2884	522.7601	539.6032	253.9312
P341-PWY	glycolysis V (Pyrococcus)	2890.728	624.0536	147.2422	365.9361	955.8624	661.0701	296.5405	452.4704	409.9477	306.3173	467.30800000000005	1954.7364	3001.8944	2373.3907	271.6946	645.7457	229.4379	311.4747	89.891	216.9054	38.7322	149.767	122.3321	271.7343	679.6829	249.2306	579.5176	78.67	293.9263	1118.559	467.281	266.6128	459.8303	549.3101	172.0967	271.6749	2024.2618	718.2921	226.9834	172.1043	526.1402	147.2151	507.1179	59.9495	0.0	259.2721	625.7762	973.5482	69.8923
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	1586.9665	1817.8356	2207.1799	4764.6045	1538.645	2892.6037	1957.7168	3781.9282	3548.8099	4738.1864	1473.7028	1775.1884	1413.5621	1398.1547	1532.6558	6102.9507	1090.705	2392.6184	3300.8502	2838.9996	3385.1349	851.2495	6260.7504	2213.2987	7897.007	2385.2236	3851.0186	2659.2691	8073.3604	2484.7201	1402.7501	2200.8301	3518.895	2192.6057	1394.9443	4501.9532	926.3687	1357.6412	652.128	1664.4017	1289.8629	1320.7181	4836.7908	3854.3843	4398.9362	6038.4319	2768.4107	1238.7555	1200.6112
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	19184.0047	21277.031000000003	34768.1105	34908.0838	19110.9591	39964.5567	29431.2702	36826.2357	22520.284	30101.6184	16815.751	24490.6552	22861.6314	21819.9356	38987.0364	32046.5768	31600.2272	26469.4123	28109.9393	24496.256	28667.4668	41219.756	32380.1696	27745.8613	33513.8528	25165.5996	22082.0523	27221.7789	33624.4771	22963.2074	21168.4335	30583.9675	27304.8731	29400.9071	27941.0479	26861.7844	29266.4115	17071.0544	20753.639	21544.6519	20131.1918	23840.6888	30938.5941	16923.1487	19407.5824	33197.9288	27318.563	23880.7996	13264.1266
P42-PWY	incomplete reductive TCA cycle	31604.5122	29647.9943	38986.8602	36389.0188	51944.9083	48588.8663	50810.427	45544.4187	32042.0018	48774.0841	49818.1205	50449.9849	81258.6252	45265.6282	25276.8275	50829.258	25692.0562	63666.2555	33212.2163	49771.405999999995	36080.9033	35882.8869	47068.2631	48358.4605	43892.517	47699.2162	28127.8814	34680.6495	36085.1413	37967.9726	55885.8203	38482.3964	40963.1176	60475.3456	37536.1757	58175.4947	49259.5575	32932.8751	58919.4523	34356.1563	28422.7419	36983.8977	45554.5489	48200.3722	53490.4791	55013.320999999996	52309.3895	53477.4722	20708.5438
P441-PWY	superpathway of N-acetylneuraminate degradation	19676.0284	21644.3171	34219.1697	30170.1011	23038.5197	23021.48	30508.2973	25302.7684	23886.6809	29152.2344	15654.9602	26353.8059	24777.7984	27351.1211	39940.634	31444.2544	28430.2965	26989.9679	30132.6754	28049.2326	30297.0448	35317.2879	36460.2118	23861.5752	29020.6284	28672.618	24349.1233	30529.7331	30400.3962	25560.7773	22813.5473	33170.015	28139.3506	30298.6905	32044.1394	29373.6083	29085.0793	27637.8872	27727.4155	22739.019	22812.7282	31502.4543	32380.772	20267.1746	24547.5425	35422.1828	24110.8633	28791.1485	11739.7313
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	6419.928000000001	5487.4146	30742.8815	18498.2334	5840.6774	4222.1331	14398.2624	8926.7322	8478.6947	7144.3592	5856.6208	6229.7036	4266.4239	6241.5724	6910.6373	14953.3936	3513.7128	4626.5949	16355.3721	11066.6879	13984.4853	7836.1513	9541.4201	7147.9348	6363.4301	7089.2518	7722.0036	17025.8707	14456.9017	7830.0899	4285.5438	21081.3967	14388.3832	17070.2967	20425.1138	8845.7965	8431.1891	4264.4772	5055.7188	8068.9629	8050.964	18462.6064	12803.3386	6003.6287	3005.0394	10164.9617	7092.8396	12520.1439	4893.0216
P562-PWY	myo-inositol degradation I	1831.3699	756.0923	1690.0979	1471.5049	1000.2133	1123.7532	995.9313	1220.4693	886.1346	1754.6534	742.9343	1421.3805	2138.9444	1584.7921	4752.9856	1362.7688	330.68699999999995	873.9488	1456.467	1061.8561	1589.1364	1489.6079	2070.4517	1783.3695	4813.5588	924.7889	1433.2844	1120.9425	2551.8608	1168.7036	687.4526	1316.9308	1274.0546	1362.4371	915.5781	1273.4292	1368.1062	883.543	414.4448	577.7644	662.7434	861.2953	1451.8851	1379.8057	1352.7454	1662.4382	1025.3119	1523.6827	413.3896
P621-PWY	nylon-6 oligomer degradation	30.480999999999998	34.2847	20.4859	91.8269	0.0	34.9215	0.0	123.1063	65.4523	253.8953	0.0	82.9915	42.6471	27.1637	19.3744	172.8207	31.377	110.8696	58.1607	50.2834	106.3637	0.0	283.9088	61.9127	273.6745	73.7845	110.9062	63.343	376.9266	23.3031	72.223	0.0	42.1839	28.5515	0.0	193.9509	0.0	23.1518	0.0	15.2598	22.4633	55.8584	133.9827	24.3835	0.0	261.9042	40.3547	55.7529	9.7738
PANTO-PWY	phosphopantothenate biosynthesis I	21711.5947	19596.9868	32466.5108	32046.5209	34529.3056	36804.6204	34436.8143	33551.3559	25710.1399	38019.7508	37357.2495	32810.296	54400.7994	28454.4873	17199.3971	34960.5006	18559.5331	39576.9397	23514.5737	33597.3201	27090.4066	26207.1458	33107.6051	38065.0939	33410.7652	33978.4353	20546.8379	25773.3319	32649.7228	25596.5034	37223.6227	28284.8907	28489.023999999998	42664.8846	25513.5193	41759.1579	33929.1605	34266.323	40821.3169	28464.4604	18357.1353	27302.6553	32488.9514	34079.7785	35969.9189	40320.6327	36923.7802	35448.9866	15978.7166
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	23879.3686	23177.9279	34962.0456	34572.9979	35323.3549	37757.8942	37623.841	35765.6928	26456.7939	38771.373999999996	38960.2274	34484.9418	54634.1541	30940.2924	22566.8876	38204.9051	23293.2278	41635.6825	26669.2045	35633.8875	31576.077	31011.1591	37489.0127	40862.4762	36389.8629	34008.6395	23201.5078	29293.9381	35540.3513	28631.5014	37689.5321	30703.249	31872.9799	44022.6743	28689.4686	42288.249	37545.7182	34335.8153	42801.009000000005	30612.3304	22525.1276	29559.3771	35212.1128	33375.4252	37627.1166	42484.0046	38932.9373	36658.9528	18008.1668
PENTOSE-P-PWY	pentose phosphate pathway	20490.6586	18064.3534	31441.6808	24968.6716	30610.907000000003	37096.058	37122.0778	33740.3031	27292.9178	35072.3876	24037.5283	32557.1559	31479.7785	30017.6987	15905.3767	27632.6015	12633.1174	39964.4485	28770.43	30226.5992	25388.7948	11864.407	31950.887000000002	26653.1502	33511.6689	32307.7153	22703.6523	31926.1335	32781.3176	25315.8005	35574.1231	30770.478	25315.6059	32100.3965	27053.4829	41010.2279	29490.132999999998	36779.971	32856.3973	16228.0389	19762.975	32640.581000000002	32025.7187	32468.9145	31236.4794	39849.4833	32462.3974	30287.3367	10483.9751
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	31019.0195	35360.5941	44414.1973	46199.5015	39177.3395	42267.9629	48527.9796	41156.8757	34771.7518	43496.4097	44699.8938	40641.4737	57950.555	39145.9663	50869.7574	52445.8537	48836.3354	48609.1826	40315.9381	41365.3332	47141.0878	53004.5175	50578.6083	51713.0252	45913.399000000005	40873.1816	32910.5488	42017.3883	45215.25	37916.257000000005	41043.4492	41362.8273	42246.5281	49340.4177	39030.0717	46372.0556	50042.0624	38818.9361	50527.225999999995	39776.0818	38031.1581	38805.3133	45016.1918	34190.3431	44360.7767	49835.3451	47896.5068	41645.1864	24097.1217
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	30264.2671	38125.4565	47448.2947	50339.9539	36158.4575	45612.9883	47165.8169	43821.1663	36051.6011	43208.8519	42434.4158	40775.1942	48425.023	39526.7808	53545.135	52379.694	47865.8195	47129.8944	43421.0685	40969.2209	49535.6128	50487.567	55756.9376	50692.7426	50413.2253	41505.2582	35439.8305	45546.0043	50684.5925	38685.9988	39432.7731	43779.2076	42447.7948	48244.0876	41448.5141	43744.941	52301.5415	38733.0294	49425.3743	37921.857	38621.9895	40632.2393	47690.8207	32047.3547	42683.0534	49286.6673	46520.1904	41681.7775	22935.9361
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	4140.8532	3267.1418	6323.0305	8846.918	2753.7173	5762.4718	2690.9544	5971.0965	7041.4198	4630.2214	3723.388	4671.594	4288.6267	3727.8511	2135.4677	5188.4777	1920.404	3920.6163	4156.2549	5173.3793	5347.8865	2169.3388	5246.9551	7249.8682	8364.9868	3344.4636	3631.7705	2982.2006	7557.8438	4075.7467	2956.8237	4606.1166	4614.889	4508.9627	4957.8793	4362.878	3943.8059	4351.1869	3667.3757	3646.1686	2527.0376	2694.1148	5027.0779999999995	3993.3824	4112.6537	5773.5447	6171.8131	6374.0679	3503.1441
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	4776.9965	4977.4531	9117.7377	10083.8478	5577.3444	18043.9843	6797.2179	15806.1071	7175.6114	5891.6305	7189.6811	7079.8148	5559.2834	5819.0921	16931.0526	7163.8857	17537.3987	6616.9226	8353.110999999999	7082.688	7652.505999999999	14860.9707	6357.6448	7601.6101	10560.1177	6793.4308	5762.3951	6788.8788	8656.6702	5423.0325	4795.7288	8408.4219	6946.0721	5950.7278	10601.0781	5194.9136	4638.233	4310.6053	5855.5425	5732.8173	5680.6431	6303.6109	6357.4601	4660.6955	5338.0887	7583.0977	6935.6072	8382.4676	3872.2806
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	23541.805	23480.6814	33119.3577	29691.695	35410.6207	37772.6072	39082.9266	35425.8653	24167.6724	35118.5361	35919.6034	33315.8562	54228.6107	30194.3565	39600.9288	39389.5476	35937.2068	41820.1782	27991.7603	35627.8416	31749.7383	31637.9198	36466.477	37879.6066	35613.9653	34777.5941	22127.0481	30558.13	29579.0733	28958.8159	35295.8039	30271.3714	31674.7553	43634.6634	29127.0864	41458.0386	35919.6134	26269.4427	40360.07	30541.9735	23351.5631	29066.3311	33461.4004	32028.4143	36889.6934	40731.9056	36709.8965	35958.3758	18481.3575
PPGPPMET-PWY	ppGpp biosynthesis	7161.7591	22704.5782	24501.1887	16884.0997	8201.7211	26376.5659	14594.6841	23716.2064	10750.0305	14250.0707	3221.8265	10524.6085	4848.485	14222.6921	21636.2269	19930.9359	15391.0614	12427.9763	18301.3071	11652.6372	17588.1946	25846.3986	32620.8246	9104.8443	9968.4376	13837.3396	13492.4073	16332.6674	18988.7342	15450.7948	7206.5292	18588.2769	14891.6033	15585.6014	27621.246	11542.7661	16144.7194	3732.5101	8596.2389	11455.1877	26936.6999	14828.4644	18796.3155	2521.6216	10819.4385	18690.5586	8453.4611	9340.7556	2602.9741
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	743.6106	832.2973	4372.7599	4775.218	530.1441	1915.2879	1274.6235	2497.0097	1892.5371	11083.4975	502.6826	1155.9676	612.2859	698.7799	898.1627	3745.3161	568.2904	1650.1173	2954.5457	1747.4259	2150.1231	730.2507	13052.0781	1174.954	8210.0094	1237.8014	2196.4293	2508.4514	15101.9759	884.0773	804.3999	2640.455	2172.5501	2360.1021	1725.9147	5255.3551	357.147	789.8178	273.1335	1151.8753	520.1213	1386.7934	3368.849	1658.6353	2411.6658	11878.3648	1224.3909	674.5875	475.6623
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	17498.5693	18890.3635	39762.4961	33097.6019	22592.3003	37849.2946	33704.7326	36263.5748	28332.3514	31230.926	16123.1151	25089.4545	32746.7352	21834.3093	30074.8138	30402.851000000002	15316.6613	28329.9369	32138.9886	31465.1877	33985.558	24011.315	36360.3095	30289.887000000002	36841.8567	31084.7978	22287.541	32849.2922	37558.2468	22110.2064	21920.0993	33441.8529	27667.932	38177.0177	31975.5522	33102.5296	23010.1543	30996.6316	19838.5156	19327.0927	20346.819	29389.4213	30626.5312	20718.0631	24873.4415	38007.1199	26279.1474	29398.0033	13118.5025
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	17877.6962	24581.3529	24121.4564	17970.0364	32413.607000000004	31285.082000000002	30259.1586	27728.2616	15677.5213	25294.8826	27312.9385	25746.53	47481.8965	24538.4718	38454.0378	30781.1468	39658.5582	35615.1615	20631.405	28857.6489	24784.1665	42632.737	32934.5176	26545.0419	21750.2767	27222.4178	16933.0038	20859.9226	17157.9141	25382.1457	27692.3543	22579.2922	23303.0406	35750.5893	27329.9047	34799.4145	30855.2576	14613.8164	30820.2918	23727.357999999997	26266.0238	22829.48	26881.7133	27196.8022	30711.9227	31522.3301	26232.5458	29197.3923	12128.8193
PWY-1361	benzoyl-CoA degradation I (aerobic)	60.1175	0.0	0.0	0.0	67.7938	36.6303	0.0	0.0	0.0	0.0	0.0	0.0	87.9376	0.0	0.0	0.0	34.2855	113.9286	136.1593	55.5644	54.2301	0.0	154.9624	65.7913	2525.466	38.3454	149.1448	80.5535	189.3193	0.0	0.0	0.0	0.0	75.6504	0.0	0.0	0.0	201.9536	0.0	0.0	0.0	0.0	25.8359	0.0	0.0	0.0	27.9555	158.7998	0.0
PWY-1422	vitamin E biosynthesis (tocopherols)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1501	mandelate degradation I	0.0	0.0	0.0	27.2712	0.0	24.5284	0.0	71.4359	31.3728	37.2301	0.0	21.406999999999996	30.5324	0.0	0.0	66.6981	0.0	55.1276	0.0	0.0	27.4565	0.0	77.6017	0.0	145.6909	42.5095	0.0	48.8828	104.3525	33.5733	39.661	0.0	0.0	0.0	0.0	46.8004	0.0	32.6837	0.0	0.0	0.0	43.6997	67.8963	66.6502	0.0	86.6397	0.0	26.1208	0.0
PWY-1541	superpathway of taurine degradation	68.1379	88.2885	79.9122	183.1207	80.9869	362.6914	92.5809	260.9306	98.492	387.69	46.2197	39.7695	24.9137	52.0968	37.7302	301.2803	18.0886	165.1601	144.8047	124.7588	144.5835	44.1161	363.7169	32.9442	704.6418	224.2881	304.4404	152.1874	386.9022	45.798	139.9355	176.833	147.4628	121.0896	29.2907	283.6436	0.0	43.669	30.2321	51.0578	44.5787	84.1532	43.4708	122.9513	23.1775	297.9203	45.2126	39.7184	42.8344
PWY-1622	formaldehyde assimilation I (serine pathway)	1289.5659	798.9486	297.5545	588.0101	591.4191	1160.1387	487.719	831.4917	706.4962	453.0318	488.3522	1714.8782	1232.7671	1008.0928	433.843	940.5202	271.606	369.4491	175.0596	400.4741	83.9361	262.7258	98.5973	423.8448	4025.8476	422.4458	815.0993	111.6962	353.7188	1177.3937	723.0584	513.6533	735.9217	989.315	358.7209	583.1687	599.262	858.3855	374.1429	310.8617	664.7666	277.2199	710.5491	372.5007	123.2769	311.6214	803.196	851.5603	127.4783
PWY-181	photorespiration	2429.0104	3415.5656	11594.011999999999	11209.802	1341.7072	11938.0322	4047.0634	11009.7473	6999.7368	7812.6013	1524.1549	4249.1452	2200.4561	1927.4918	3406.4990000000003	7208.4662	1063.4684	4108.0278	9038.6666	7268.5782	9387.3419	4292.7884	10348.7297	2507.2754	14346.9821	3761.9627	4492.5071	5401.1801	11908.7966	3595.9292	4248.5452	11870.2883	7266.8925	10144.1358	11081.393999999998	8109.9021	1147.7396	3358.171	3204.4146	4110.1494	2676.5173	5545.2329	7297.1798	4216.1292	3292.4790000000003	8247.2312	3140.1051	2722.6586	2009.0037
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	16285.5027	5756.4988	11025.1506	10777.8153	9626.5826	6797.6954	11473.3669	7808.7354	6234.8849	6657.5197	5034.4724	12499.0352	20525.2035	13028.2421	4707.6871	9503.0122	3519.1878	5768.1736	7808.6979	6108.9823	4847.806	5051.8149	5882.2134	7265.754	10725.1152	6154.1065	7233.0249	5552.151	10232.0206	10539.8747	5220.9402	10535.8803	8866.0588	10656.7733	6255.4431	6609.8673	15467.0776	7271.826999999999	4522.633	5163.733	5507.901	5530.4613	9994.2628	3349.5514	1783.5916	7304.6071	9775.6377	9380.5111	3041.6222
PWY-1882	superpathway of C1 compounds oxidation to CO2	10.9641	0.0	17.8471	0.0	0.0	193.7933	38.5525	164.7275	13.1214	109.0438	0.0	66.1321	63.8493	47.0815	20.9628	35.5396	0.0	90.8236	0.0	69.23100000000001	0.0	31.1698	60.6792	0.0	1300.3642	129.8857	177.7044	12.155	130.9339	0.0	77.9906	0.0	54.8981	60.4559	8.8728	87.7963	0.0	75.3263	12.3038	16.1352	39.7869	0.0	104.7978	52.9803	0.0	6.5724	16.2955	58.2969	13.0662
PWY-2941	L-lysine biosynthesis II	15488.0589	25236.1944	22093.5641	18480.8754	12463.532	11710.9983	27498.4042	15292.372	16396.8003	14584.0299	6400.8698	14358.5484	6077.5157	22044.3597	44947.5789	28274.2394	42947.301	19210.5287	24170.4847	14744.5442	28323.5547	41043.9303	32429.213	14973.4217	13556.0207	13213.5866	19351.2414	24054.2457	20558.3228	23233.9452	9645.9628	23102.0865	21937.8563	15574.4912	24901.9032	15581.1025	24823.5245	6050.5978	18172.7487	21707.522999999997	28728.8155	27796.1563	25151.8918	7112.5353	18556.3674	20970.1804	15301.3202	9281.8045	9440.4147
PWY-2942	L-lysine biosynthesis III	33354.5423	32080.76	49797.9331	50637.2732	39882.1104	54041.154	47512.6839	50350.9832	36531.587999999996	47203.4908	45805.6622	46451.4605	60450.1741	41541.4571	50316.8156	51352.9201	51352.1432	54387.0707	43027.3573	43958.2421	49996.6622	49081.6564	46762.5414	57048.2531	50007.4786	43121.7571	33611.9586	41432.8111	47505.7834	38478.2616	47052.5619	45418.1386	42882.1185	48160.5598	43175.342000000004	50513.7147	54560.0633	40691.843	53138.6161	41407.4785	39894.2832	41458.8936	48582.3341	41661.3955	45291.4096	54085.7075	54276.0054	45062.5982	26123.2787
PWY-3001	superpathway of L-isoleucine biosynthesis I	30917.2534	32192.0688	43837.9813	45392.4077	40560.9013	50766.4792	46654.0581	46178.0581	33725.8	45742.7773	45248.4883	44837.0468	54935.4461	39740.8325	51684.9003	41407.3839	47396.8944	52844.1411	37944.2285	42916.3666	41204.8881	53335.5698	47867.9792	54705.8131	48795.5814	43187.754	31018.4047	37446.0105	43390.8539	37734.4187	46455.1711	41342.6373	36612.1592	49817.5394	40168.8943	50896.1372	51994.9437	42003.3335	52151.627	32100.3088	38271.2049	34795.2284	44904.3892	39774.8196	45374.2683	51504.0416	51772.5952	46144.032	20850.0629
