Pathway	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S4	S5	S6	S7	S8	S9
LACTOSECAT-PWY: lactose and galactose degradation I	178.573	259.587	114.059	221.492	149.458	168.673	160.045	176.543	49.7015	54.5705	29.1788	37.1138	44.6079	19.8997	21.3178	38.0059	174.307	11.9872	303.806	26.5904	36.4312	358.305	185.006	1446.82	177.122	102.886	164.108	82.6072	129.167	484.901	195.893	857.296	154.175	411.502	671.335	237.391
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	0	0	0	10.49	0	0	0	0	0	0	0	9.40359	0	0	0	0	0	6.66772	0	0	0	0	7.5473	6.19863	0	9.40934
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	74.0557	0	0	0	0	53.908	0	135.111	616.135	582.037	11.7182	139.315	21.6255	411.714	0	655.191	68.0265	60.5648	0	364.204	31.315	0	0	588.704	246.301	36.3216	0	547.709	23.3383	190.712	48.9366	7.0601	0	26.1003	0	23.1579
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	1041.59	1262.08	1100.78	946.388	640.559	1389.21	1134.28	985.89	3887.87	2241.57	1733.72	1903.77	2133.82	2924.49	167.051	3279.37	2453.18	991.131	1055.73	2217.08	1872.17	1433.26	1201.95	3841.53	3526.71	1224.73	598.928	4172.21	2081.66	3289	1952.45	1762.3	1242.43	2590.01	1023.51	3626.3
METH-ACETATE-PWY: methanogenesis from acetate	214.252	681.081	407.145	385.026	215.588	216.985	90.343	236.544	55.7045	78.9937	279.935	0	79.827	25.5553	0	0	145.189	72.2262	254.858	129.515	197.082	571.852	94.2829	9.52113	254.663	372.543	56.8127	166.88	307.55	709.97	326.794	831.759	309.143	475.745	608.788	289.97
METHGLYUT-PWY: superpathway of methylglyoxal degradation	267.316	72.5511	83.6296	51.7544	169.641	85.5296	302.056	862.536	1004.06	1510.73	1343.36	1489.03	49.6834	700.892	0	628.025	666.491	211.963	140.457	486.366	566.905	89.3064	81.1044	1325.27	456.359	255.549	31.4105	763.234	1043.53	538.454	180.908	187.856	99.4467	29.931	183.213	277.637
METSYN-PWY: L-homoserine and L-methionine biosynthesis	973.283	1183.44	1041.56	869.758	576.362	1389.95	1052.2	886.293	4162.45	2245.95	1613.6	1826.14	1910.37	2582.34	144.218	3039.44	2326.05	906.346	948.433	2292.73	1925.77	1290.55	1161.57	3712.63	3451.14	1162.25	526.786	3842.39	1963.98	3181.52	1834.59	1571.13	1117.94	2445.84	909.693	3424.7
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	1770.81	1779.49	3381.12	0	1344.66	373.677	3035.31	93.2628	1496.01	3051.4	484.116	4323.54	53.8551	520.527	0	2356.87	1134.87	1376.58	886.618	2367.54	2118.52	846.418	871.146	1130.49	244.726	644.671	14.5021	648.028	633.361	891.324	1116.69	46.6106	483.466	2275.3	387.921	882.895
NAGLIPASYN-PWY: lipid IVA biosynthesis	3762.98	1804.99	4836.75	4515.05	2662.45	1610.37	6706.74	1288.87	3593.38	2932.25	2827.37	1619.16	6312.43	1758.16	824.244	3717.51	2218.33	3633.66	3165.34	2214.22	4766.3	2541.03	4599.5	3373.95	3427.98	2404	830.833	2353.64	3433.07	723.06	1061.83	666.96	3146.55	2292.16	2759.44	3090.8
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0	1438.42	65.101	285.574	53.1138	109.258	7.99018	1592.51	80.1975	0	85.0857	0	0	0	0	39.6319	0	0	2569.56	0	119.483	2834.14	206.911	1137.74	0	350.369	0	0	100.228	0	369.162	3168.15	374.246	374.297	1042.64	86.1389
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	3684.99	2427.41	2791.19	2901.55	4019.54	3393.96	3701.89	4063.46	7356.05	5040.83	5141.68	4215.81	8419.56	3994.71	2472.81	3379.14	4879.67	4089.42	3271.69	3699.07	2993.23	3893.01	2376.14	5506.91	4331.67	2701.7	2631.66	5702.23	5003.44	7213.5	5428.53	7282.06	5249.79	5823.76	4961.32	10190.1
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	4934.54	2502.11	3426.95	4580.52	3983.33	3751.63	2090.55	3737.94	2570.24	3349.99	1548.59	2369.54	2683.86	2773.41	3636.98	3944.41	5476.83	3463.29	4977.98	4044.54	3606.84	5092.21	3422.29	3821.03	5158.57	3159.27	4771.37	3937.14	2113.11	3902	5774.29	4612.25	3720.01	4319.61	4672.42	4203.24
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	263.908	0	0	0	0	84.0766	27.9329	58.7564	2202.54	1005.73	111.102	525.972	89.2937	895.444	0	1037.7	609.982	125.371	272.129	549.525	424.965	202.282	25.0008	1317	880.283	54.6049	0	1265.39	188.651	293.758	212.242	56.1841	167.218	629.252	13.5055	2367.84
ORNDEG-PWY: superpathway of ornithine degradation	536.686	0	0	0	0	97.6249	110.768	185.848	4013.97	1259.05	608.37	786.102	398.228	1279.26	0	1615.6	553.064	372.771	240.612	832.675	628.988	190.66	227.718	2873.66	1426.06	116.433	0	1995.83	666.007	524.437	289.696	167.887	291.587	446.698	0	1884.93
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	438.033	0	0	0	68.0915	290.935	385.003	525.153	3116.76	1702.37	268.933	1005.88	133.7	1303.7	0	1669.57	1276.53	690.141	667.649	1107.86	865.333	639.869	177.763	2144.46	1434.41	204.136	33.6776	1684.61	502.763	250.383	164.389	212.075	431.254	1453.08	246.628	2615.09
P108-PWY: pyruvate fermentation to propanoate I	533.935	932.109	915.106	1610.74	618.099	643.077	596.999	187.657	1015.58	341.035	622.694	779.997	601.005	673.396	372.089	289.711	1068.62	438.586	1619.02	301.776	360.45	1237.1	476.301	1108.16	846.024	382.961	530.467	756.043	667.24	76.0376	964.862	828.916	725.259	481.939	879.968	1116.77
P122-PWY: heterolactic fermentation	130.446	0	121.286	0	0	0	0	22.4888	1196.21	423.853	16.4786	123.654	46.2476	363.639	84.8783	451.379	692.592	41.2491	76.3195	218.836	0	38.8265	146.789	799.562	1334.99	139.708	49.0997	454.829	74.3307	78.5489	68.2311	6.89182	130.062	508.474	86.7238	958.649
P124-PWY: Bifidobacterium shunt	94.2266	623.914	65.2195	258.143	164.471	82.2452	53.2272	550.907	31.9433	0	0	0	0	0	103.875	11.5594	142.534	0	1146.67	0	0	1317.68	78.923	507.089	1668.38	68.2617	88.0902	15.0676	45.4965	0	242.234	1446.42	86.8271	145.927	397.296	431.147
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	7.8088	0	0	0	22.2986	0	0	0	0	12.8137	0	4.54868	5.82879	0	0	0	142.332	0	0	0	0	23.6294	25.5267	445.216	0	0	0	0	0	0	17.222	0	17.7346	40.0737	0	0
P161-PWY: acetylene degradation	716.841	48.7878	69.5364	32.5846	6.20385	43.3274	246.801	449.737	3200.36	1735.15	375.118	881.172	373.377	819.623	373.147	1541.75	886.298	515.084	408.301	1145.04	1097.6	298.601	61.8072	2630.18	1158.44	129.003	439.751	1289.58	591.244	347.895	353.514	367.327	711.684	453.732	85.9476	2237.37
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	0	45.2425	44.5146	0	58.8506	55.0339	22.5846	0	0	206.513	0	373.51	12.0288	260.608	18.6381	55.0722	409.807	98.7854	20.1055	84.4343	69.7386	213.845	41.5759	153.017	83.6171	427.315	47.6887	77.8661	13.5777	23.3614	23.3048	135.231	13.0495	41.4997	0
P163-PWY: L-lysine fermentation to acetate and butanoate	48.389	0	20.6857	0	0	16.0213	0	0	0	0	0	144.665	21.1402	18.8263	940.705	12.6905	10.4351	0	0	13.5918	25.0683	0	123.032	0	0	83.0385	856.645	8.31932	16.301	0	0	0	0	0	30.8502	0
P164-PWY: purine nucleobases degradation I (anaerobic)	988.022	757.937	761.137	691.646	385.539	682.596	417.114	414.28	1983.08	1591.77	1183.1	1228.35	1377.06	972.401	418.306	1459.43	640.856	1293.23	648.801	1560.96	1614.63	623.045	1099.78	1374.45	1079.82	1652.46	530.489	1299.86	1225.98	1793.73	861.699	1073.33	2079.78	1525.7	840.126	1368.67
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	82.1581	327.397	132.584	70.399	39.7813	101.29	20.187	102.146	1818.35	207.376	156.407	193.204	171.871	1644	842.192	0	938.138	25.6205	295.877	64.1659	21.6645	245.163	116.408	118.738	159.04	365.065	918.872	2279.89	192.746	154.19	109.624	193.749	282.098	562.329	725.53	3511.78
P221-PWY: octane oxidation	46.7977	0	8.63895	0	0	10.467	0.987367	2.99776	456.938	144.713	30.8963	106.355	37.2219	281.356	0	155.906	48.5386	51.5464	116.347	96.9612	63.7303	108.061	2.12697	192.661	138.85	45.0191	25.9453	355.002	81.7614	29.1023	47.1631	6.1938	98.2949	195.819	13.1167	1374.76
P23-PWY: reductive TCA cycle I	39.9739	0	123.695	0	0	24.6799	0	118.257	0	91.5078	0	0	0	207.401	115.077	0	818.361	0	166.082	31.5574	237.602	112.177	343.142	21.4404	258.942	160.799	120.08	263.822	0	0	123.236	0	311.251	246.395	81.9536	0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	1118.92	827.317	249.373	449.683	86.3501	280.758	167.293	1114.86	3450.91	1973.13	623.141	1085.89	646.193	1688.21	66.5009	2132.56	1827.95	584.053	1343.2	1656.01	1406.52	1640.02	288.857	3354.48	3004.81	255.206	123.688	2292.09	921.978	1199.7	611.125	1621.53	823.614	1734.72	1184.93	3221.55
P42-PWY: incomplete reductive TCA cycle	304.698	214.906	458.66	389.62	276.113	270.746	11.8695	190.913	965.625	434.032	101.302	393.867	255.801	306.26	679.637	543.792	816.164	155.832	1003.25	433.943	554.254	910.099	423.846	1025.89	704.242	671.992	817.838	397.274	251.485	90.7459	173.169	7.62378	795.022	536.948	1758.16	630.725
P441-PWY: superpathway of N-acetylneuraminate degradation	1679.05	1251.22	642.312	496.333	140.677	904.456	872.642	1870.84	3910.24	2741.24	1274.89	2106.02	1294.2	1795.6	901.647	2945.29	1925.96	1270.64	1205.24	2287.49	1887.69	986.323	1070.94	3870.52	2073.17	1172.05	1050.37	2656.75	1817.44	1482.59	1115.78	1241.89	2338.38	1282.85	890.525	3154.68
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	1135.39	512.982	239.768	479.6	93.4184	489.204	208.812	748.401	5747.39	2414.66	569.616	924.151	360.021	1491.17	269.85	2483.13	2254.9	765.996	746.979	1452.68	1430.64	892.767	173.513	4417.34	1247.99	229.89	209.167	2343.27	810.623	933.503	667.529	388.004	342.904	1652.67	1636.35	4811.75
P562-PWY: myo-inositol degradation I	0	37.1768	0	0	0	0	24.725	0	0	0	0	0	0	0	0	0	24.1473	0	0	0	0	0	16.5967	0	0	0	27.0549	39.1689	0	10.7656	75.6448	0	58.3534	246.969	0	147.353
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	15.4671	0	0	20.9699	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0278	0	0	0	0	4.53959	0	0	0	0	0	0	16.5235	0
PANTO-PWY: phosphopantothenate biosynthesis I	8682.08	11784.1	8752.89	9834.08	10122	9376.54	9986.96	8642.59	3948.06	6387.81	9255.43	8441.09	9472.4	6377.58	7111.75	6014.78	7188.97	11372.9	8069.34	7902.63	8598.51	8171.67	9874.91	5941.03	6551.01	9134.32	7356.35	6456.06	8498.08	7857.7	9197.51	8354.88	7917.84	6967.99	8367.17	5715.24
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	8799.89	11937.1	9041.63	10201	10392.5	8265.06	9812.22	8975.12	3891.89	6519	8830	8310.24	8973.77	8400.06	10141.4	6956.19	7722.88	10671.4	8743.15	7822.66	8270.7	8730.83	9863.13	5253.96	6951.77	9092.47	10070.6	7118.51	8073.43	7913.75	9301.49	8496.56	8136.18	7523.96	9244.79	5178.92
PENTOSE-P-PWY: pentose phosphate pathway	4007.05	2500.7	3160.4	2943.34	4133.39	2163.32	4128.06	4348.11	4552.61	4915.93	5494.16	4611.29	7852.56	2443.34	807.693	3301.97	3759.55	4345.16	3193.81	3744.37	3310.01	3312.18	2840.04	3776.64	2591.85	3132.99	924.189	2750.01	5219.55	5673.29	4625.48	5977.99	4346.64	3332.64	2655.21	4438.46
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	9727.48	12820.6	10663.6	11762.6	11790.4	15636.3	10870.1	10165.8	4614.54	7176.32	9363.18	8752.89	9593.27	12184.2	19810.8	8715.14	9544.84	10687.1	11348.3	8302.66	10129	11538.4	10400.4	6251.56	9359.3	10014.6	18356.4	9092.58	8985.38	8837.13	10110.7	8919.46	10311.9	8652.43	12089.3	6361.7
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	3374.08	3787.07	4104.8	5963.89	5649.43	4871.17	3560.17	3010.26	4841.61	5088.08	2826	3565.54	2207.86	4667.74	4095.76	5279.35	4315.27	2458.69	4959.75	4199.13	3955.24	5016.08	4578.65	6180.25	4352.24	4487.44	4741.96	5069.88	3957.16	3938.49	3262.76	5087.76	4147.33	4523.25	4582.44	4605.13
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	311.092	9.917	42.8377	0	15.4625	205.472	143.639	666.968	5.98634	559.724	41.0221	0	0	659.257	159.194	42.1419	624.505	0	427.771	122.5	287.652	314.978	198.688	0	526.127	129.803	465.65	970.694	44.1381	128.677	185.008	267.371	432.742	625.891	105.002	215.231
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	1008.69	336.456	134.737	177.144	312.8	562.495	246.886	794.597	2926.25	2153	690.028	923.287	551.728	1520.16	998.582	2037.89	1361.53	678.914	736.045	2365.6	1521.89	927.783	557.251	1920.23	1995.13	555.139	1171.83	2240.23	1106.01	892.634	1072.91	766.783	1007.09	1905.55	1029.48	4032.63
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	3062.95	2007.53	2985.44	1121.27	1654.93	507.547	3112.45	3340.18	3073.63	3005.43	4186.56	5222.36	773.576	888.019	240.954	2563.12	1542.16	2244.64	1257.53	2900.08	1644.31	1176.87	2871.11	2028.36	1003.06	2992.4	343.822	1141.29	3375.68	3782.66	2912.41	1140.92	1538.02	2461.64	842.825	1546.14
PPGPPMET-PWY: ppGpp biosynthesis	138.49	241.58	233.6	180.659	139.922	188.138	22.3018	196.078	1386.25	360.789	336.818	407.384	269.832	332.414	2065.26	395.261	745.628	76.2376	673.472	192.956	572.985	593.674	547.869	510.752	589.808	367.625	1268.84	439.645	333.985	331.247	164.423	109.604	246.863	875.761	905.795	1581.61
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	30.3461	33.7843	56.0589	21.4997	39.2742	97.4983	0	0	0	0	43.0362	0	67.6765	0	44.1403	0	58.7035	0	168.407	25.4201	47.7495	52.6324	36.4269	0	37.5659	152.373	127.848	0	114.433	36.9776	172.292	58.4825	134.986	27.3261	54.7919	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	557.999	137.918	0	37.0668	0	184.578	0	0	317.314	0	125.407	4.49032	0	103.019	15.9416	0	103.925	9.54743	0	246.596	0	0	29.8815	0	73.9239	141.952	0	1276.26
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	3383.43	2733.95	1495.37	2034.73	1310.63	1848.66	1667.28	2252.27	3648.39	3960.7	1609.75	1841.75	1834.81	3107.77	1426.2	3075.02	3905.34	2033.52	1603.8	2702.63	2841.6	1794.42	973.81	3960.85	3976.51	1043.83	1500.9	4065.57	2266.16	2487.72	1681.59	3348.07	2678.68	3000.71	3591.39	3992.61
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	13.1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4521	0	7.28179	0	5.05254	0	14.2203	54.8568	0	13.5496	4.63755
PWY-1042: glycolysis IV (plant cytosol)	11620	16438.8	11578.4	12733.3	15243.7	15684	9626.16	14735.7	6579.48	9908.11	11375.2	11955.4	8710.89	13832.6	16059.9	10688.7	9474.82	10411	11639.8	10440.6	11506.6	11806.3	11772.8	7996.02	8460.03	12367.8	16865.6	10561.5	10368.5	11520.3	10888.5	9250.3	11381.5	9864.9	13554.2	8301.51
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	3670.79	1880.17	5677.87	4277.59	2275.59	8880.01	6995.06	1566.7	3798.22	3462.36	4713.71	3200.89	3636.77	8577.94	8294.3	6446.47	2668.57	1260.81	3216.06	2493.46	2225.12	2673.37	3246.89	4382.78	3606.75	4090.95	9010.93	5457.45	4624.16	1915.29	1343.81	2377.56	3522.26	2641.43	3049.99	3498.69
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8963	0	14.5169	0	0	11.4898	0	0	0	0	0	0	0	0	0	0	17.7771	0	0	0
PWY-1541: superpathway of taurine degradation	0	0	0	0	0	0	0	0	29.5775	40.5924	0	0	0	97.041	0	0	0	0	19.616	0	0	27.8738	0	0	21.4641	0	0	72.1416	0	0	0	0	0	56.3524	0	488.038
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	74.1188	553.289	97.8568	488.81	12.9968	207.614	0	428.847	1053.4	1180.36	417.759	159.487	268.289	230.895	43.0166	7.93892	150.573	23.7671	163.911	471.831	219.221	272.947	162.308	114.331	474.742	283.416	109.519	235.464	645.63	3512.61	430.397	1124.06	257.538	1304.93	898.458	216.451
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	956.402	592.287	83.8327	165.21	71.1216	230.088	133.962	1229.59	1953.86	2108.91	535.528	1164.58	522.519	2007.93	245.313	2564.87	1389.01	557.125	1311.51	1518.08	1503.8	1450.87	655.932	2198.96	2975.88	483.143	357.618	2582.93	773.437	820.913	605.69	1420.43	576.606	1191.66	454.68	2200.59
PWY-2723: trehalose degradation V	146.851	174.609	104.845	12.9513	6.15324	321.28	54.4757	270.081	2309.99	930.355	73.2329	374.761	239.908	708.499	19.5438	1399.09	1054.57	141.777	456.364	576.435	350.745	478.629	275.647	1352.34	1865.23	159.888	44.9939	859.769	201.805	195.068	243.663	208.02	1165.76	698.99	172.517	2255.65
PWY-2941: L-lysine biosynthesis II	2016.99	1528.01	4646.49	2798.99	2426.01	3198.29	5561.18	2914.41	2178.39	2165.15	6954.1	4131.92	8168.63	2103.04	643.385	2260.32	2881.78	2187.63	2011.26	1523.35	1408.44	1773.63	5385.87	3949.49	1818.7	4715.62	986.688	1433.95	6667.06	5091.05	2510.73	6584.56	3856.28	2327.9	1547.75	906.07
PWY-2942: L-lysine biosynthesis III	8385.2	11987	9215.84	9890.17	9674.51	12059.6	9596.46	8487.8	4332.33	5888.57	9136.74	8700.94	9867.78	10410.3	14527.5	7298	7452.73	11542.5	9450.29	7272.1	8831.82	9208.35	10701.1	5359.43	6728.58	9652.35	13783.7	6705.64	8305.37	7043.33	8298.63	8082.39	9370.61	6933.13	9606.07	6437.46
PWY-3001: superpathway of L-isoleucine biosynthesis I	7948.31	7897.38	8095.48	8671.72	7352.63	7392.65	8063.75	6238.19	5948.02	5789.64	8582.36	7139.28	9292.56	6085.75	3272.73	7331	6609.99	10519.1	7648.7	6043.9	8046.69	7551.5	8819.67	6363.02	5607.66	8841.18	4533.94	5418.72	8044.84	6881.16	6680.36	7875.37	7476.09	6512.11	7620.25	5348.48
PWY-3781: aerobic respiration I (cytochrome c)	0	95.4434	0	0	18.3174	0	0	48.4667	0	0	0	0	195.381	5.78572	66.8675	0	0	0	0	0	0	0	99.0705	130.543	1649.62	78.588	138.665	22.8693	0	11.0842	0	0	0	25.4221	54.6268	730.256
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	0	0	192.622	279.828	0	158.74	0	294.735	0	0	0	0	113.835	0	0	301.565	59.228	0	48.8751	36.9933	0	307.962	0	0	411.873	0	487.658	409.795	0	1659.27
PWY-3841: folate transformations II	9258.24	11700.3	10150.6	11418.7	11189.2	10045.8	10565.2	10125	4000.03	7010.14	9733.84	8712.9	9463.83	7244.57	14280.7	6863.7	8885.84	13264.4	10603.5	8175.57	10079.1	10418.3	11739	5631.11	8215.54	10160.9	12542.4	6876.04	8999.05	8851.63	9054.14	9034.36	10381.8	7857.51	11192.4	5622.68
PWY-4041: &gamma;-glutamyl cycle	1958.5	478.25	417.706	312.153	136.47	634.442	246.672	1566.56	3625.37	2519.96	271.403	2324.02	1792.04	1530.41	213.013	3524.38	1473.01	719.07	1089	2346.82	1329.77	1176.98	3988.34	4017.06	2129.32	599.392	313.109	2035.68	694.763	988.299	707.225	3530.63	1680	1542.85	657.653	2542.73
PWY-4242: pantothenate and coenzyme A biosynthesis III	8980.77	12385.3	9560.68	10837.2	10752.3	7176.41	9695	9418.75	4161.37	6608.44	8516.79	8276.4	8979.68	7720.77	8767.28	6807.54	8364.43	10479.1	9769.31	8521.46	8318.73	9769.11	10272.5	5125.12	8081.77	9502.64	8992.39	7451.43	7918.15	8290.08	9830.75	9263.89	9018.59	8594.87	10858.1	4957.47
PWY-4321: L-glutamate degradation IV	0	0	0	0	0	0	0	0	337.269	36.2168	0	120.247	0	96.3154	0	0	0	0	40.5865	0	0	51.8223	0	66.4669	22.4725	0	0	137.277	0	0	0	0	0	88.2506	13.4266	515.368
PWY-4702: phytate degradation I	575.773	0	0	6.81111	0	108.206	61.4538	322.092	2462.42	1451.63	87.9802	510.557	137.097	1078.73	0	1748.89	374.423	148.064	6.84505	914.855	498.134	6.13025	50.2587	2200.27	493.234	85.7871	0	1766.75	299.545	424.652	171.047	46.8161	35.6208	6.38712	33.368	134.243
PWY-4722: creatinine degradation II	0	15.55	0	0	0	0	15.7915	0	0	0	0	45.7175	16.423	0	0	0	0	0	0	13.0335	25.5936	0	0	0	0	33.3404	26.5732	0	5.6631	0	9.61658	33.7654	144.775	0	8.84798	0
PWY-4981: L-proline biosynthesis II (from arginine)	4475.17	3523.48	3640.39	1329.24	4896.01	1034.17	2451.2	5053.67	2696.48	3216.31	2433.47	1395.76	1255.92	1285.93	1166.97	2304.51	2151.2	3433.43	2135.38	4037.08	4032.81	2319.58	3664.43	2472.97	1395.48	4815.38	1334.82	1474.32	2770.98	4727.72	4974.1	567.187	2479.01	2835.49	1551.65	877.785
PWY-4984: urea cycle	2489.28	2849.74	3552.01	2705.28	4547.34	1531.8	2335.77	1064.57	1977.79	3059.34	2360.76	1343.18	2191.91	1283.7	1525.9	2284.72	2784.82	4010.59	4110.18	3672.64	3986.54	3543.19	3085.5	1331.07	948.196	3747.43	1462.07	1100.8	2804.38	1101.03	4187.52	1057.53	3482.81	3130.23	1615.06	1323.15
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	12.8364	0	39.0908	0	0	0	0	0	40.8372	0	117.441	0	38.9428	0	0	99.9755	0	239.381	316.599	0	82.7556	0	0	0	0	0	0	0	95.8793	0
PWY-5005: biotin biosynthesis II	1529.11	514.645	381.274	389.672	892.956	688.143	367.046	461.117	153.198	245.525	0	217.153	209.163	26.9871	546.993	976.861	1618.51	684.203	613.968	928.39	222.441	628.708	515.714	140.007	17.2751	808.497	589.691	105.097	17.9487	17.5167	2937.95	1011.86	121.297	1448.31	621.59	2713.71
PWY-5022: 4-aminobutanoate degradation V	1213.75	79.8184	32.7052	42.2531	128.354	238.158	130.687	260.867	1635.11	2230.63	317.974	982.738	219.846	1294.91	75.0563	1915.21	877.936	458.494	422.508	1155.78	846.022	426.215	132.916	2398.75	1028.75	149.012	75.6184	1253.6	595.007	1042.39	383.349	222	494.273	1100.94	886.916	1589.71
PWY-5030: L-histidine degradation III	5555.08	4149.98	6314.55	5614.84	6390.91	2739.14	8268.67	6563.29	1118.32	4459.71	7187.1	7106.75	4440.79	1529.84	1692.08	3043.17	3728.92	7435.9	3328.56	3866.44	5660.32	2679.24	7285.5	760.287	1472.41	5840.21	1564.66	1736.57	6390.72	5017.19	4072.84	3609.21	3902.31	3521.27	3386.47	537.772
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	1072.56	224.223	1700.94	1037.43	55.8848	1367.01	3047.98	531.544	2220.01	2637.66	1338.85	1107.91	1655.24	2080.13	153.143	2679.33	1101.99	667.18	592.351	1770.96	1157.78	309.664	1313.65	2656.31	1067.31	1421.24	144.838	2333.02	1401.19	1887.69	764.88	1944.84	557.482	1661.01	248.828	2456.97
PWY-5088: L-glutamate degradation VIII (to propanoate)	289.763	0	181.652	0	0	27.6125	14.2833	0	495.198	152.168	102.083	354.676	199.376	0	0	15.6825	502.786	78.5542	164.508	187.605	227.656	112.116	16.3172	655.227	227.435	108.912	0	0	217.459	0	0	9.257	39.0991	143.746	0	16.0944
PWY-5097: L-lysine biosynthesis VI	8401.6	12491.8	9138.89	10563.5	9642.69	12315.7	9626.83	8498.14	4242.4	6477.88	8870.25	8341.6	9560.4	10838.3	14989.6	7416.52	7621.11	10348.8	9930.57	7672.08	8445.17	10088.3	9360.07	5324.96	7152.48	9409.79	14095	7430.75	8171.7	7365.26	8830.57	8517.48	9521.59	7340.85	10568.6	6346.38
PWY-5100: pyruvate fermentation to acetate and lactate II	1635.47	3198.81	1629.77	3086.39	3652.88	2024.93	2065.44	3111.77	2183.45	2121.78	1346.64	774.107	1193.55	1676.16	2080.06	1308.59	2380.79	1070.85	4058.19	1692.79	1793.56	4679.76	1004.57	1690.86	2304.99	2029.33	2571.06	2422.87	1585.48	4208.4	2905.37	4284.52	3125.52	4186.8	5480.36	3358.44
PWY-5103: L-isoleucine biosynthesis III	7525.67	6958.96	7783.69	8881.7	5836.05	13266.5	9689.7	4708.56	6058.61	4840.03	8114.8	5862.2	9826.36	11847.2	12786.9	8469.91	6579.83	9524.5	7299.33	5049.07	6949.64	7019.27	7350.95	6445.32	6232.71	8184.02	14181.5	8670.94	7818.31	6210.03	4100.04	8284.26	7834.18	6410.24	7928.85	4921.3
PWY-5104: L-isoleucine biosynthesis IV	846.017	1221.3	1084.64	1786.33	1593.18	2173.99	1496.45	462.155	3643.55	2019.27	864.69	953.384	953.263	1393.47	867.071	2612.18	828.641	1165.47	1083.75	1611.45	1291.67	1325.74	489.449	2074.4	2197.26	755.631	1171.96	2357.84	1374.21	2172.94	957.341	2024.51	1955.17	2230.32	2912.83	1889.68
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	1051.65	51.0413	209.584	41.7022	79.574	6.27502	1257.64	62.47	0	66.7297	0	0	0	0	31.0985	0	0	1457.12	0	93.7647	1511.76	162.278	689.464	0	273.584	0	0	78.3752	0	287.35	1353.97	283.919	288.304	494.103	66.2684
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	1599.98	170.719	96.1503	118.083	72.1575	470.907	301.909	1415.42	3040.65	2199.37	816.891	1401.37	592.647	1935.04	93.5072	2375.72	1663.86	818.058	620.159	2178.92	1770.98	775.545	193.07	2816.99	3144.45	611.772	125.051	2574.27	1365.72	1283.28	782.409	809.427	863.273	1509.8	416.56	2451.8
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation"	326.584	195.125	62.1572	110.848	28.8254	110.078	526.501	178.547	1521	670.539	334.115	819.521	552.564	573.841	0	985.732	1141.37	438.254	205.058	531.564	560.951	257.305	137.819	949.612	2524.77	224.372	146.83	709.098	343.561	688.119	344.737	766.414	629.253	934.785	213.059	2187.96
